Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-06-01,Keyboard,Electronics,9,748,9800
2024-06-02,Monitor,Accessories,1,684,8001
2024-06-03,Mouse,Electronics,6,1195,2822
2024-06-04,Mouse,Electronics,1,1486,8004
2024-06-05,Phone,Accessories,8,1027,8860
2024-06-06,Phone,Accessories,9,1355,3240
2024-06-07,Monitor,Accessories,6,72,1227
2024-06-08,Monitor,Accessories,5,936,2945
2024-06-09,Tablet,Electronics,3,901,190
2024-06-10,Monitor,Electronics,1,1447,4024
2024-06-11,Tablet,Electronics,8,475,2114
2024-06-12,Tablet,Electronics,10,189,2152
2024-06-13,Tablet,Electronics,7,462,7101
2024-06-14,Mouse,Accessories,3,622,3366
2024-06-15,Tablet,Accessories,1,413,1436
2024-06-16,Mouse,Electronics,4,735,5024
2024-06-17,Laptop,Electronics,8,894,1113
2024-06-18,Mouse,Electronics,6,1098,5310
2024-06-19,Headphones,Electronics,5,132,11574
2024-06-20,Headphones,Accessories,9,1389,5680
2024-06-21,Phone,Electronics,2,1448,400
2024-06-22,Mouse,Electronics,9,1222,1421
2024-06-23,Keyboard,Electronics,6,1372,2798
2024-06-24,Monitor,Accessories,1,291,11152
2024-06-25,Phone,Electronics,7,1461,7539
2024-06-26,Tablet,Accessories,5,1489,1332
2024-06-27,Laptop,Accessories,9,906,5392
2024-06-28,Monitor,Accessories,9,1330,8952
2024-06-29,Keyboard,Accessories,9,1393,6465
2024-06-30,Monitor,Accessories,4,624,1458
