Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-11-01,Laptop,Accessories,7,585,2142
2024-11-02,Laptop,Electronics,1,537,4781
2024-11-03,Phone,Accessories,2,388,955
2024-11-04,Tablet,Electronics,3,385,6032
2024-11-05,Keyboard,Accessories,2,91,2620
2024-11-06,Monitor,Accessories,9,866,820
2024-11-07,Headphones,Accessories,6,1208,7656
2024-11-08,Headphones,Electronics,8,308,9618
2024-11-09,Tablet,Electronics,10,1437,12070
2024-11-10,Monitor,Accessories,9,1167,3145
2024-11-11,Monitor,Accessories,2,1386,1680
2024-11-12,Tablet,Accessories,7,496,924
2024-11-13,Laptop,Electronics,1,776,11450
2024-11-14,Laptop,Accessories,1,914,2191
2024-11-15,Laptop,Electronics,7,670,7728
2024-11-16,Keyboard,Accessories,10,566,792
2024-11-17,Headphones,Accessories,6,630,4380
2024-11-18,Headphones,Electronics,9,1283,9548
2024-11-19,Tablet,Electronics,1,1404,8980
2024-11-20,Headphones,Electronics,10,927,2966
2024-11-21,Keyboard,Accessories,6,784,9233
2024-11-22,Monitor,Electronics,4,105,2450
2024-11-23,Monitor,Accessories,6,1498,4092
2024-11-24,Tablet,Accessories,4,479,560
2024-11-25,Tablet,Electronics,2,708,992
2024-11-26,Keyboard,Electronics,9,407,11136
2024-11-27,Keyboard,Electronics,8,480,1488
2024-11-28,Phone,Accessories,3,510,6150
2024-11-29,Phone,Accessories,3,810,13820
2024-11-30,Laptop,Electronics,5,1420,86
