OfferID,ApplicationID,JobID,CandidateID,OfferStatus,OfferDate
O001,A002,J002,C002,Accepted,2024-02-01
O002,A004,J003,C003,Declined,2024-02-02
O003,A006,J004,C004,Accepted,2024-02-03
O004,A008,J005,C005,Declined,2024-02-04
O005,A010,J006,C006,Accepted,2024-02-05
O006,A012,J007,C007,Declined,2024-02-06
O007,A014,J008,C008,Accepted,2024-02-07
O008,A016,J009,C009,Declined,2024-02-08
O009,A018,J010,C010,Accepted,2024-02-09
O010,A020,J001,C011,Declined,2024-02-10
O011,A022,J002,C012,Accepted,2024-02-11
O012,A024,J003,C013,Declined,2024-02-12
O013,A026,J004,C014,Accepted,2024-02-13
O014,A028,J005,C015,Declined,2024-02-14
O015,A030,J006,C016,Accepted,2024-02-15
O016,A032,J007,C017,Declined,2024-02-16
O017,A034,J008,C018,Accepted,2024-02-17
O018,A036,J009,C019,Declined,2024-02-18
O019,A038,J010,C020,Accepted,2024-02-19
O020,A040,J001,C001,Declined,2024-02-20
O021,A042,J002,C002,Accepted,2024-02-21
O022,A044,J003,C003,Declined,2024-02-22
O023,A046,J004,C004,Accepted,2024-02-23
O024,A048,J005,C005,Declined,2024-02-24
O025,A050,J006,C006,Accepted,2024-02-25
O026,A052,J007,C007,Declined,2024-02-26
O027,A054,J008,C008,Accepted,2024-02-27
O028,A056,J009,C009,Declined,2024-02-28
O029,A058,J010,C010,Accepted,2024-02-29
O030,A060,J001,C011,Declined,2024-03-01
O031,A062,J002,C012,Accepted,2024-03-02
O032,A064,J003,C013,Declined,2024-03-03
O033,A066,J004,C014,Accepted,2024-03-04
O034,A068,J005,C015,Declined,2024-03-05
O035,A070,J006,C016,Accepted,2024-03-06
O036,A072,J007,C017,Declined,2024-03-07
O037,A074,J008,C018,Accepted,2024-03-08
O038,A076,J009,C019,Declined,2024-03-09
O039,A078,J010,C020,Accepted,2024-03-10
O040,A080,J001,C001,Declined,2024-03-11
O041,A082,J002,C002,Accepted,2024-03-12
O042,A084,J003,C003,Declined,2024-03-13
O043,A086,J004,C004,Accepted,2024-03-14
O044,A088,J005,C005,Declined,2024-03-15
O045,A090,J006,C006,Accepted,2024-03-16
O046,A092,J007,C007,Declined,2024-03-17
O047,A094,J008,C008,Accepted,2024-03-18
O048,A096,J009,C009,Declined,2024-03-19
O049,A098,J010,C010,Accepted,2024-03-20
O050,A100,J001,C011,Declined,2024-03-21
