ApplicationID,ApplicationDate,CandidateID,JobID,Status
A001,2024-01-01,C002,J002,Pending
A002,2024-01-02,C003,J003,Interview
A003,2024-01-03,C004,J004,Rejected
A004,2024-01-04,C005,J005,Offer
A005,2024-01-05,C006,J006,Pending
A006,2024-01-06,C007,J007,Interview
A007,2024-01-07,C008,J008,Rejected
A008,2024-01-08,C009,J009,Offer
A009,2024-01-09,C010,J010,Pending
A010,2024-01-10,C011,J001,Interview
A011,2024-01-11,C012,J002,Rejected
A012,2024-01-12,C013,J003,Offer
A013,2024-01-13,C014,J004,Pending
A014,2024-01-14,C015,J005,Interview
A015,2024-01-15,C016,J006,Rejected
A016,2024-01-16,C017,J007,Offer
A017,2024-01-17,C018,J008,Pending
A018,2024-01-18,C019,J009,Interview
A019,2024-01-19,C020,J010,Rejected
A020,2024-01-20,C001,J001,Offer
A021,2024-01-21,C002,J002,Pending
A022,2024-01-22,C003,J003,Interview
A023,2024-01-23,C004,J004,Rejected
A024,2024-01-24,C005,J005,Offer
A025,2024-01-25,C006,J006,Pending
A026,2024-01-26,C007,J007,Interview
A027,2024-01-27,C008,J008,Rejected
A028,2024-01-28,C009,J009,Offer
A029,2024-01-29,C010,J010,Pending
A030,2024-01-30,C011,J001,Interview
A031,2024-01-31,C012,J002,Rejected
A032,2024-02-01,C013,J003,Offer
A033,2024-02-02,C014,J004,Pending
A034,2024-02-03,C015,J005,Interview
A035,2024-02-04,C016,J006,Rejected
A036,2024-02-05,C017,J007,Offer
A037,2024-02-06,C018,J008,Pending
A038,2024-02-07,C019,J009,Interview
A039,2024-02-08,C020,J010,Rejected
A040,2024-02-09,C001,J001,Offer
A041,2024-02-10,C002,J002,Pending
A042,2024-02-11,C003,J003,Interview
A043,2024-02-12,C004,J004,Rejected
A044,2024-02-13,C005,J005,Offer
A045,2024-02-14,C006,J006,Pending
A046,2024-02-15,C007,J007,Interview
A047,2024-02-16,C008,J008,Rejected
A048,2024-02-17,C009,J009,Offer
A049,2024-02-18,C010,J010,Pending
A050,2024-02-19,C011,J001,Interview
A051,2024-02-20,C012,J002,Rejected
A052,2024-02-21,C013,J003,Offer
A053,2024-02-22,C014,J004,Pending
A054,2024-02-23,C015,J005,Interview
A055,2024-02-24,C016,J006,Rejected
A056,2024-02-25,C017,J007,Offer
A057,2024-02-26,C018,J008,Pending
A058,2024-02-27,C019,J009,Interview
A059,2024-02-28,C020,J010,Rejected
A060,2024-02-29,C001,J001,Offer
A061,2024-03-01,C002,J002,Pending
A062,2024-03-02,C003,J003,Interview
A063,2024-03-03,C004,J004,Rejected
A064,2024-03-04,C005,J005,Offer
A065,2024-03-05,C006,J006,Pending
A066,2024-03-06,C007,J007,Interview
A067,2024-03-07,C008,J008,Rejected
A068,2024-03-08,C009,J009,Offer
A069,2024-03-09,C010,J010,Pending
A070,2024-03-10,C011,J001,Interview
A071,2024-03-11,C012,J002,Rejected
A072,2024-03-12,C013,J003,Offer
A073,2024-03-13,C014,J004,Pending
A074,2024-03-14,C015,J005,Interview
A075,2024-03-15,C016,J006,Rejected
A076,2024-03-16,C017,J007,Offer
A077,2024-03-17,C018,J008,Pending
A078,2024-03-18,C019,J009,Interview
A079,2024-03-19,C020,J010,Rejected
A080,2024-03-20,C001,J001,Offer
A081,2024-03-21,C002,J002,Pending
A082,2024-03-22,C003,J003,Interview
A083,2024-03-23,C004,J004,Rejected
A084,2024-03-24,C005,J005,Offer
A085,2024-03-25,C006,J006,Pending
A086,2024-03-26,C007,J007,Interview
A087,2024-03-27,C008,J008,Rejected
A088,2024-03-28,C009,J009,Offer
A089,2024-03-29,C010,J010,Pending
A090,2024-03-30,C011,J001,Interview
A091,2024-03-31,C012,J002,Rejected
A092,2024-04-01,C013,J003,Offer
A093,2024-04-02,C014,J004,Pending
A094,2024-04-03,C015,J005,Interview
A095,2024-04-04,C016,J006,Rejected
A096,2024-04-05,C017,J007,Offer
A097,2024-04-06,C018,J008,Pending
A098,2024-04-07,C019,J009,Interview
A099,2024-04-08,C020,J010,Rejected
A100,2024-04-09,C001,J001,Offer
