Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-04-01,Laptop,Accessories,6,91,231
2024-04-02,Laptop,Electronics,1,1138,11710
2024-04-03,Tablet,Electronics,4,1342,5874
2024-04-04,Keyboard,Electronics,9,1339,848
2024-04-05,Mouse,Accessories,3,819,4914
2024-04-06,Keyboard,Electronics,1,1317,3228
2024-04-07,Monitor,Electronics,9,382,102
2024-04-08,Phone,Electronics,10,1005,434
2024-04-09,Phone,Electronics,2,1396,1368
2024-04-10,Mouse,Electronics,6,1362,232
2024-04-11,Monitor,Accessories,3,950,4828
2024-04-12,Tablet,Accessories,1,163,896
2024-04-13,Mouse,Electronics,6,226,615
2024-04-14,Monitor,Accessories,8,1210,5796
2024-04-15,Mouse,Accessories,8,85,2304
2024-04-16,Monitor,Electronics,8,454,3402
2024-04-17,Laptop,Accessories,7,547,7362
2024-04-18,Headphones,Accessories,5,116,12375
2024-04-19,Laptop,Accessories,4,838,1176
2024-04-20,Laptop,Accessories,4,1017,980
2024-04-21,Laptop,Accessories,4,1277,2121
2024-04-22,Phone,Accessories,7,245,3123
2024-04-23,Monitor,Accessories,1,117,3616
2024-04-24,Tablet,Accessories,6,1048,1146
2024-04-25,Laptop,Accessories,10,70,1808
2024-04-26,Tablet,Accessories,7,165,8840
2024-04-27,Monitor,Electronics,9,1452,1116
2024-04-28,Monitor,Electronics,8,668,13140
2024-04-29,Tablet,Accessories,6,648,9000
2024-04-30,Keyboard,Accessories,7,493,3081
