Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-08-01,Tablet,Accessories,10,151,2718
2024-08-02,Headphones,Electronics,4,605,1641
2024-08-03,Tablet,Electronics,6,305,1581
2024-08-04,Phone,Electronics,1,1334,2240
2024-08-05,Tablet,Accessories,4,863,6112
2024-08-06,Tablet,Accessories,9,828,165
2024-08-07,Keyboard,Accessories,5,287,4610
2024-08-08,Keyboard,Accessories,8,386,7924
2024-08-09,Keyboard,Electronics,1,743,4332
2024-08-10,Headphones,Electronics,4,884,2700
2024-08-11,Keyboard,Accessories,7,72,8100
2024-08-12,Headphones,Electronics,8,1207,114
2024-08-13,Phone,Electronics,2,666,1032
2024-08-14,Tablet,Accessories,3,627,5908
2024-08-15,Headphones,Accessories,9,1097,8772
2024-08-16,Mouse,Electronics,2,995,13390
2024-08-17,Laptop,Electronics,10,1475,3558
2024-08-18,Headphones,Electronics,5,670,4158
2024-08-19,Headphones,Electronics,1,1474,721
2024-08-20,Keyboard,Accessories,8,173,5230
2024-08-21,Mouse,Electronics,1,707,1270
2024-08-22,Phone,Accessories,5,699,5664
2024-08-23,Tablet,Accessories,5,763,1216
2024-08-24,Laptop,Accessories,9,342,11637
2024-08-25,Tablet,Accessories,10,366,939
2024-08-26,Headphones,Accessories,4,575,3493
2024-08-27,Mouse,Accessories,1,247,3850
2024-08-28,Laptop,Electronics,5,1290,6696
2024-08-29,Mouse,Electronics,5,1247,2354
2024-08-30,Phone,Electronics,7,724,4050
