Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-12-01,Monitor,Electronics,5,899,3564
2024-12-02,Tablet,Accessories,1,441,281
2024-12-03,Monitor,Electronics,9,1443,2294
2024-12-04,Keyboard,Accessories,5,733,496
2024-12-05,Phone,Electronics,9,326,396
2024-12-06,Tablet,Accessories,6,706,2422
2024-12-07,Monitor,Accessories,6,567,1953
2024-12-08,Mouse,Accessories,5,873,9000
2024-12-09,Headphones,Accessories,4,464,2670
2024-12-10,Keyboard,Electronics,5,1485,2946
2024-12-11,Laptop,Electronics,10,398,1054
2024-12-12,Tablet,Accessories,6,574,3122
2024-12-13,Phone,Accessories,8,446,5916
2024-12-14,Headphones,Electronics,7,1128,960
2024-12-15,Headphones,Accessories,2,244,12190
2024-12-16,Keyboard,Electronics,2,563,11736
2024-12-17,Tablet,Accessories,3,1181,1818
2024-12-18,Tablet,Electronics,7,974,3464
2024-12-19,Laptop,Electronics,9,233,7470
2024-12-20,Keyboard,Electronics,9,1494,5262
2024-12-21,Keyboard,Accessories,7,212,1572
2024-12-22,Monitor,Accessories,2,133,693
2024-12-23,Phone,Electronics,1,1258,7820
2024-12-24,Headphones,Accessories,9,77,936
2024-12-25,Tablet,Accessories,3,743,8720
2024-12-26,Laptop,Electronics,1,1494,8253
2024-12-27,Mouse,Electronics,1,195,4776
2024-12-28,Mouse,Electronics,1,1491,540
2024-12-29,Phone,Electronics,6,1150,2732
2024-12-30,Monitor,Accessories,1,1463,1176
