Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-02-01,Laptop,Accessories,5,1228,1570
2024-02-02,Laptop,Electronics,5,1329,174
2024-02-03,Mouse,Electronics,10,59,8766
2024-02-04,Phone,Accessories,10,767,2784
2024-02-05,Phone,Accessories,2,1386,282
2024-02-06,Headphones,Accessories,1,1196,174
2024-02-07,Monitor,Accessories,9,1027,1488
2024-02-08,Laptop,Electronics,6,611,700
2024-02-09,Mouse,Accessories,7,1227,3508
2024-02-10,Phone,Accessories,5,541,784
2024-02-11,Laptop,Electronics,2,644,4780
2024-02-12,Laptop,Accessories,2,1002,11770
2024-02-13,Headphones,Electronics,4,286,952
2024-02-14,Laptop,Accessories,6,1257,681
2024-02-15,Headphones,Electronics,5,263,3276
2024-02-16,Phone,Accessories,10,325,3792
2024-02-17,Keyboard,Accessories,8,1102,5570
2024-02-18,Monitor,Accessories,4,1393,6032
2024-02-19,Phone,Electronics,10,564,12636
2024-02-20,Headphones,Electronics,7,130,6705
2024-02-21,Phone,Accessories,5,1158,6762
2024-02-22,Laptop,Electronics,3,736,485
2024-02-23,Phone,Accessories,9,1383,4912
2024-02-24,Laptop,Electronics,2,1155,3040
2024-02-25,Laptop,Accessories,6,1295,2386
2024-02-26,Phone,Accessories,4,1280,1500
2024-02-27,Phone,Accessories,10,913,6923
2024-02-28,Keyboard,Accessories,9,335,5780
2024-02-29,Headphones,Accessories,10,1347,9054
2024-03-01,Headphones,Electronics,5,1317,740
