Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-01-01,Laptop,Accessories,6,167,9392
2024-01-02,Laptop,Accessories,2,1090,4482
2024-01-03,Monitor,Accessories,8,1086,9576
2024-01-04,Mouse,Accessories,9,897,5256
2024-01-05,Monitor,Electronics,3,1192,3438
2024-01-06,Keyboard,Accessories,5,1189,5800
2024-01-07,Tablet,Electronics,4,955,7315
2024-01-08,Keyboard,Electronics,6,578,2079
2024-01-09,Mouse,Accessories,1,889,3990
2024-01-10,Keyboard,Accessories,5,1011,1765
2024-01-11,Phone,Accessories,1,1063,8091
2024-01-12,Tablet,Electronics,6,1197,1267
2024-01-13,Mouse,Electronics,4,1206,3140
2024-01-14,Laptop,Accessories,5,987,650
2024-01-15,Tablet,Electronics,9,203,2632
2024-01-16,Headphones,Accessories,7,1165,719
2024-01-17,Monitor,Accessories,4,939,1809
2024-01-18,Monitor,Electronics,5,718,624
2024-01-19,Keyboard,Accessories,1,522,2282
2024-01-20,Tablet,Electronics,5,371,444
2024-01-21,Phone,Accessories,4,778,1512
2024-01-22,Phone,Accessories,5,1257,392
2024-01-23,Keyboard,Electronics,9,937,1521
2024-01-24,Laptop,Electronics,10,1297,8316
2024-01-25,Phone,Electronics,1,836,6250
2024-01-26,Keyboard,Accessories,2,562,5516
2024-01-27,Monitor,Electronics,4,91,3153
2024-01-28,Keyboard,Accessories,10,1411,10224
2024-01-29,Headphones,Accessories,4,910,7356
2024-01-30,Headphones,Accessories,5,549,4560
