Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-07-01,Tablet,Accessories,1,516,3568
2024-07-02,Laptop,Accessories,7,658,8834
2024-07-03,Phone,Accessories,3,257,782
2024-07-04,Headphones,Accessories,3,147,6080
2024-07-05,Phone,Accessories,3,1240,6384
2024-07-06,Laptop,Electronics,10,419,3580
2024-07-07,Tablet,Electronics,9,688,588
2024-07-08,Laptop,Accessories,1,1112,4644
2024-07-09,Laptop,Electronics,3,408,6293
2024-07-10,Laptop,Electronics,8,185,5840
2024-07-11,Tablet,Electronics,8,1173,10336
2024-07-12,Laptop,Accessories,5,460,5670
2024-07-13,Laptop,Electronics,3,1463,7105
2024-07-14,Phone,Accessories,2,1000,3385
2024-07-15,Tablet,Electronics,10,639,3470
2024-07-16,Keyboard,Electronics,2,1130,286
2024-07-17,Laptop,Accessories,7,210,14700
2024-07-18,Laptop,Accessories,2,519,6345
2024-07-19,Headphones,Electronics,3,497,760
2024-07-20,Headphones,Electronics,5,50,461
2024-07-21,Laptop,Electronics,10,480,1280
2024-07-22,Laptop,Accessories,8,1463,13419
2024-07-23,Mouse,Accessories,8,832,9744
2024-07-24,Tablet,Accessories,9,307,2645
2024-07-25,Phone,Accessories,4,267,8416
2024-07-26,Laptop,Accessories,7,1083,1572
2024-07-27,Headphones,Accessories,3,1355,13560
2024-07-28,Headphones,Electronics,6,535,3184
2024-07-29,Phone,Accessories,2,620,2394
2024-07-30,Monitor,Electronics,1,794,3726
