Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-03-01,Keyboard,Accessories,8,1233,1258
2024-03-02,Phone,Electronics,1,1098,5345
2024-03-03,Keyboard,Accessories,7,89,5248
2024-03-04,Laptop,Accessories,8,375,3416
2024-03-05,Headphones,Accessories,3,61,2858
2024-03-06,Monitor,Electronics,7,789,2862
2024-03-07,Headphones,Accessories,6,877,928
2024-03-08,Phone,Electronics,6,1286,9752
2024-03-09,Headphones,Accessories,6,884,1500
2024-03-10,Laptop,Electronics,10,346,2466
2024-03-11,Headphones,Accessories,3,287,6520
2024-03-12,Monitor,Electronics,9,388,9088
2024-03-13,Monitor,Accessories,7,1399,3730
2024-03-14,Headphones,Electronics,1,579,982
2024-03-15,Monitor,Accessories,1,645,1911
2024-03-16,Mouse,Electronics,10,680,1036
2024-03-17,Monitor,Accessories,6,1259,2320
2024-03-18,Tablet,Accessories,5,249,10744
2024-03-19,Headphones,Accessories,1,62,1202
2024-03-20,Tablet,Electronics,3,727,8712
2024-03-21,Mouse,Electronics,10,1078,576
2024-03-22,Headphones,Accessories,5,449,616
2024-03-23,Keyboard,Accessories,8,441,2470
2024-03-24,Headphones,Accessories,8,59,1410
2024-03-25,Laptop,Accessories,9,1140,2080
2024-03-26,Laptop,Electronics,8,1286,4900
2024-03-27,Tablet,Accessories,2,648,2724
2024-03-28,Tablet,Electronics,5,66,11241
2024-03-29,Laptop,Electronics,7,1405,3416
2024-03-30,Mouse,Accessories,5,874,505
