Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-05-01,Headphones,Accessories,10,258,13740
2024-05-02,Laptop,Electronics,10,100,8904
2024-05-03,Headphones,Accessories,1,618,9760
2024-05-04,Keyboard,Electronics,1,1221,7560
2024-05-05,Laptop,Electronics,1,1247,4848
2024-05-06,Keyboard,Accessories,10,305,3723
2024-05-07,Laptop,Electronics,2,735,4434
2024-05-08,Keyboard,Accessories,4,671,183
2024-05-09,Headphones,Electronics,10,647,1580
2024-05-10,Mouse,Electronics,1,1220,5730
2024-05-11,Headphones,Accessories,3,1290,1396
2024-05-12,Tablet,Electronics,6,158,10712
2024-05-13,Mouse,Accessories,6,844,11370
2024-05-14,Monitor,Accessories,8,499,4806
2024-05-15,Tablet,Electronics,9,286,12030
2024-05-16,Keyboard,Accessories,8,904,3336
2024-05-17,Monitor,Electronics,7,320,552
2024-05-18,Monitor,Accessories,2,1030,10010
2024-05-19,Headphones,Accessories,4,907,3220
2024-05-20,Headphones,Accessories,4,764,12350
2024-05-21,Tablet,Electronics,10,1151,11112
2024-05-22,Keyboard,Electronics,6,877,6258
2024-05-23,Laptop,Accessories,8,912,1471
2024-05-24,Mouse,Accessories,8,470,734
2024-05-25,Tablet,Electronics,7,895,10199
2024-05-26,Phone,Accessories,8,1484,1296
2024-05-27,Tablet,Electronics,6,1485,11410
2024-05-28,Tablet,Accessories,5,398,11048
2024-05-29,Laptop,Accessories,5,797,2940
2024-05-30,Keyboard,Accessories,7,1223,4604
