Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-10-01,Laptop,Electronics,6,1211,232
2024-10-02,Tablet,Electronics,6,887,9736
2024-10-03,Keyboard,Accessories,6,313,2595
2024-10-04,Laptop,Electronics,6,1428,3828
2024-10-05,Laptop,Electronics,1,240,512
2024-10-06,Keyboard,Electronics,4,1364,1096
2024-10-07,Tablet,Accessories,6,287,12560
2024-10-08,Headphones,Accessories,7,551,828
2024-10-09,Headphones,Electronics,2,1191,2432
2024-10-10,Headphones,Electronics,3,1059,12160
2024-10-11,Headphones,Electronics,1,1046,1160
2024-10-12,Monitor,Accessories,8,210,1878
2024-10-13,Phone,Accessories,5,760,1162
2024-10-14,Headphones,Electronics,1,1432,11772
2024-10-15,Phone,Electronics,5,636,2023
2024-10-16,Keyboard,Accessories,2,329,1499
2024-10-17,Laptop,Accessories,9,1361,540
2024-10-18,Monitor,Electronics,1,223,1216
2024-10-19,Monitor,Electronics,6,679,6300
2024-10-20,Laptop,Electronics,10,1455,333
2024-10-21,Mouse,Electronics,6,917,2040
2024-10-22,Monitor,Electronics,8,1161,4320
2024-10-23,Phone,Accessories,2,1062,256
2024-10-24,Monitor,Electronics,1,1164,2530
2024-10-25,Laptop,Accessories,10,182,4068
2024-10-26,Keyboard,Electronics,10,210,1080
2024-10-27,Monitor,Accessories,3,540,11475
2024-10-28,Keyboard,Accessories,4,650,7224
2024-10-29,Monitor,Electronics,9,282,1848
2024-10-30,Monitor,Accessories,4,928,4000
