Date,Product,Category,Quantity Sold,Unit Price ($),Total Sales ($)
2024-09-01,Laptop,Electronics,5,473,8477
2024-09-02,Tablet,Electronics,9,1257,8580
2024-09-03,Phone,Accessories,4,1009,2524
2024-09-04,Keyboard,Accessories,4,1070,4203
2024-09-05,Monitor,Accessories,7,1168,1092
2024-09-06,Monitor,Accessories,10,181,5736
2024-09-07,Tablet,Accessories,9,1137,4672
2024-09-08,Phone,Electronics,1,394,2454
2024-09-09,Laptop,Electronics,5,1307,1311
2024-09-10,Mouse,Accessories,7,526,325
2024-09-11,Laptop,Electronics,8,1276,7658
2024-09-12,Mouse,Accessories,7,394,13040
2024-09-13,Monitor,Accessories,7,897,2552
2024-09-14,Keyboard,Electronics,1,1440,871
2024-09-15,Keyboard,Accessories,4,1373,341
2024-09-16,Tablet,Accessories,6,860,1191
2024-09-17,Mouse,Electronics,3,723,3348
2024-09-18,Monitor,Electronics,4,779,6050
2024-09-19,Keyboard,Accessories,4,293,6790
2024-09-20,Headphones,Accessories,2,76,936
2024-09-21,Mouse,Electronics,2,882,1110
2024-09-22,Headphones,Electronics,1,876,1168
2024-09-23,Keyboard,Accessories,7,874,8910
2024-09-24,Headphones,Accessories,8,553,3828
2024-09-25,Headphones,Accessories,7,74,396
2024-09-26,Keyboard,Electronics,8,978,6066
2024-09-27,Monitor,Electronics,4,572,645
2024-09-28,Tablet,Electronics,5,1469,3756
2024-09-29,Keyboard,Accessories,10,1336,12105
2024-09-30,Mouse,Accessories,10,1308,4494
