ClickID,UserID,FeatureID,ClickTimestamp,TimeSpentSeconds
C1000000,U108943,F1252,2024-04-05 08:00:57,29.0
C1000001,U100164,F1200,2024-12-12 00:52:07,116.0
C1000002,U106989,F1283,2024-05-18 08:25:42,154.0
C1000003,U109884,F1097,2024-11-08 08:04:13,195.0
C1000004,U101956,F1221,2024-08-11 17:41:33,258.0
C1000005,U103860,F1207,2024-12-24 04:48:47,34.0
C1000006,U102775,F1274,2024-01-19 11:03:11,200.0
C1000007,U101768,F1046,2024-07-28 21:56:19,296.0
C1000008,U106226,F1114,2024-11-10 21:58:54,63.0
C1000009,U106621,F1183,2024-02-23 23:04:13,286.0
C1000010,U100782,F1010,2024-12-22 02:21:19,61.0
C1000011,U107820,F1076,2024-01-12 23:53:06,82.0
C1000012,U109146,F1220,2024-03-27 01:58:41,147.0
C1000013,U109851,F1053,2024-12-15 13:15:00,39.0
C1000014,U100140,F1058,2024-02-13 02:09:30,208.0
C1000015,U100719,F1192,2024-01-11 12:00:40,136.0
C1000016,U101650,F1031,2024-10-12 22:18:30,80.0
C1000017,U107885,F1145,2024-09-11 07:18:20,292.0
C1000018,U103573,F1131,2024-12-23 17:52:20,101.0
C1000019,U101015,F1207,2024-01-30 06:49:34,14.0
C1000020,U104383,F1212,2024-01-02 17:06:02,47.0
C1000021,U108534,F1178,2024-02-19 11:38:26,236.0
C1000022,U106292,F1125,2024-05-03 13:12:47,53.0
C1000023,U106353,F1137,2024-03-31 01:35:24,83.0
C1000024,U109167,F1244,2024-02-02 03:11:06,132.0
C1000025,U103120,F1192,2024-02-29 11:58:56,274.0
C1000026,U101823,F1274,2024-04-22 12:09:10,15.0
C1000027,U104426,F1134,2024-05-05 00:36:52,276.0
C1000028,U100010,F1044,2024-01-03 18:29:41,183.0
C1000029,U104604,F1037,2024-06-17 06:55:09,44.0
C1000030,U109660,F1134,2024-07-11 14:54:43,100.0
C1000031,U109305,F1234,2024-07-13 00:01:02,278.0
C1000032,U108813,F1066,2024-05-16 13:46:04,241.0
C1000033,U100900,F1074,2024-05-07 20:15:15,190.0
C1000034,U103747,F1263,2024-09-25 11:20:41,250.0
C1000035,U101471,F1089,2024-03-13 11:35:25,82.0
C1000036,U106861,F1101,2024-07-24 19:57:08,270.0
C1000037,U103103,F1002,2024-09-23 09:32:01,133.0
C1000038,U108518,F1092,2024-02-15 04:47:42,147.0
C1000039,U100073,F1011,2024-05-04 03:42:03,283.0
C1000040,U100250,F1081,2024-07-16 22:15:28,58.0
C1000041,U102497,F1170,2024-08-11 00:32:42,158.0
C1000042,U104628,F1233,2024-05-11 05:30:10,131.0
C1000043,U108487,F1044,2024-04-10 17:33:35,224.0
C1000044,U100297,F1024,2024-10-27 06:13:07,115.0
C1000045,U108493,F1003,2024-03-25 09:58:56,175.0
C1000046,U108776,F1229,2024-06-19 19:22:29,65.0
C1000047,U106517,F1194,2024-02-26 21:24:49,81.0
C1000048,U101634,F1155,2024-10-29 22:18:43,20.0
C1000049,U105005,F1109,2024-04-15 14:19:24,270.0
C1000050,U106029,F1164,2024-01-08 01:16:44,47.0
C1000051,U108244,F1060,2024-09-07 05:59:51,132.0
C1000052,U105615,F1208,2024-02-26 01:45:37,218.0
C1000053,U102844,F1124,2024-04-03 04:35:17,64.0
C1000054,U105623,F1286,2024-01-19 08:12:03,106.0
C1000055,U104590,F1084,2024-04-13 11:05:44,160.0
C1000056,U104948,F1208,2024-09-27 20:03:44,266.0
C1000057,U105190,F1233,2024-05-02 09:29:06,96.0
C1000058,U107884,F1042,2024-02-27 16:58:47,28.0
C1000059,U106332,F1283,2024-07-11 01:58:28,49.0
C1000060,U100662,F1250,2024-03-26 23:40:53,237.0
C1000061,U108199,F1166,2024-04-19 01:32:33,225.0
C1000062,U106475,F1192,2024-03-29 13:35:55,74.0
C1000063,U103087,F1066,2024-09-12 14:15:58,261.0
C1000064,U104761,F1206,2024-11-10 19:20:00,161.0
C1000065,U100668,F1035,2024-03-13 08:38:40,9.0
C1000066,U109477,F1285,2024-04-18 12:20:11,118.0
C1000067,U103620,F1278,2024-03-13 22:14:39,253.0
C1000068,U100160,F1174,2024-07-02 10:05:33,272.0
C1000069,U106460,F1010,2024-05-26 03:07:52,58.0
C1000070,U100017,F1018,2024-03-07 23:33:45,254.0
C1000071,U102533,F1189,2024-09-24 13:18:09,75.0
C1000072,U106510,F1071,2024-11-15 15:05:13,74.0
C1000073,U104446,F1298,2024-06-05 05:44:48,231.0
C1000074,U105554,F1074,2024-09-11 11:28:19,158.0
C1000075,U102918,F1136,2024-12-30 16:48:45,261.0
C1000076,U109245,F1237,2024-11-04 18:04:49,159.0
C1000077,U100315,F1280,2024-10-12 11:19:36,224.0
C1000078,U104832,F1286,2024-08-29 04:31:35,163.0
C1000079,U102211,F1140,2024-09-05 23:06:17,185.0
C1000080,U107069,F1157,2024-05-16 09:18:25,120.0
C1000081,U108511,F1200,2024-10-27 02:54:11,52.0
C1000082,U105133,F1028,2024-12-05 05:06:40,142.0
C1000083,U106422,F1094,2024-09-01 03:37:02,160.0
C1000084,U104527,F1273,2024-07-27 14:54:16,272.0
C1000085,U102715,F1130,2024-03-23 08:18:07,275.0
C1000086,U108825,F1246,2024-05-31 19:42:51,70.0
C1000087,U109897,F1034,2024-03-23 08:30:38,121.0
C1000088,U106665,F1131,2024-06-03 14:49:13,194.0
C1000089,U107107,F1296,2024-09-23 03:47:43,175.0
C1000090,U105132,F1113,2024-02-11 13:55:18,27.0
C1000091,U108864,F1089,2024-08-24 19:17:55,10.0
C1000092,U108662,F1222,2024-03-19 04:58:43,190.0
C1000093,U106782,F1285,2024-04-22 17:38:45,199.0
C1000094,U102607,F1086,2024-07-02 12:38:43,270.0
C1000095,U103332,F1221,2024-04-08 03:56:10,200.0
C1000096,U104697,F1266,2024-03-22 14:24:44,65.0
C1000097,U109574,F1032,2024-02-13 04:31:15,145.0
C1000098,U106745,F1293,2024-10-08 22:10:44,96.0
C1000099,U105634,F1237,2024-09-06 02:20:08,99.0
C1000100,U106260,F1004,2024-04-08 08:14:02,213.0
C1000101,U101185,F1186,2024-09-28 12:45:40,149.0
C1000102,U106995,F1247,2024-06-02 11:37:36,144.0
C1000103,U106109,F1098,2024-04-23 16:39:52,177.0
C1000104,U106441,F1050,2024-03-25 07:28:30,131.0
C1000105,U100915,F1064,2024-03-29 08:15:08,118.0
C1000106,U107464,F1195,2024-02-21 02:19:31,172.0
C1000107,U101617,F1057,2024-09-02 06:04:38,207.0
C1000108,U109875,F1175,2024-06-15 11:50:42,142.0
C1000109,U102425,F1185,2024-06-30 23:22:03,232.0
C1000110,U100425,F1164,2024-07-09 06:08:49,87.0
C1000111,U101787,F1134,2024-04-20 06:47:46,6.0
C1000112,U102584,F1059,2024-11-08 19:33:16,257.0
C1000113,U104648,F1288,2024-11-21 16:37:52,17.0
C1000114,U100168,F1178,2024-07-16 07:56:28,44.0
C1000115,U100514,F1122,2024-09-05 21:40:13,69.0
C1000116,U103435,F1293,2024-05-08 17:17:58,210.0
C1000117,U104525,F1243,2024-05-06 02:21:14,148.0
C1000118,U102616,F1281,2024-05-18 06:36:45,179.0
C1000119,U108882,F1297,2024-09-18 15:42:41,221.0
C1000120,U103204,F1076,2024-11-20 22:57:14,127.0
C1000121,U107765,F1086,2024-05-02 13:12:48,106.0
C1000122,U108544,F1079,2024-02-04 02:06:27,11.0
C1000123,U101117,F1084,2024-02-14 22:36:59,226.0
C1000124,U101405,F1273,2024-07-28 07:57:16,21.0
C1000125,U105414,F1264,2024-12-26 19:52:32,106.0
C1000126,U106341,F1110,2024-04-18 23:09:12,238.0
C1000127,U104174,F1272,2024-03-15 07:24:20,177.0
C1000128,U100677,F1104,2024-11-02 02:56:13,191.0
C1000129,U108742,F1264,2024-07-16 13:08:15,242.0
C1000130,U109011,F1163,2024-10-04 19:33:53,36.0
C1000131,U100213,F1135,2024-07-31 13:41:45,261.0
C1000132,U101666,F1189,2024-11-20 05:12:31,108.0
C1000133,U109085,F1251,2024-02-04 09:57:45,12.0
C1000134,U104254,F1213,2024-04-17 17:55:38,290.0
C1000135,U102786,F1121,2024-01-04 07:25:29,231.0
C1000136,U108213,F1217,2024-12-17 21:13:25,223.0
C1000137,U105860,F1169,2024-09-29 22:51:09,60.0
C1000138,U101261,F1257,2024-06-08 21:58:15,266.0
C1000139,U101172,F1158,2024-04-26 21:53:45,164.0
C1000140,U104880,F1075,2024-03-04 19:27:18,72.0
C1000141,U102054,F1274,2024-11-25 21:42:11,32.0
C1000142,U102815,F1120,2024-09-04 09:50:05,219.0
C1000143,U104674,F1239,2024-10-04 23:05:43,17.0
C1000144,U105196,F1064,2024-04-21 06:32:36,91.0
C1000145,U104584,F1187,2024-05-07 09:55:29,298.0
C1000146,U105021,F1097,2024-07-27 01:24:03,284.0
C1000147,U106230,F1271,2024-02-23 00:18:04,272.0
C1000148,U109979,F1104,2024-09-25 12:03:18,269.0
C1000149,U102631,F1134,2024-12-13 18:15:38,261.0
C1000150,U106345,F1195,2024-03-28 02:11:16,85.0
