ScrollID,UserID,FeatureID,ScrollPercent,SessionDate
S2000000,U101061,F1195,74.83,2024-03-13
S2000001,U108386,F1262,24.72,2024-08-23
S2000002,U104067,F1234,72.0,2024-04-11
S2000003,U100321,F1057,14.39,2024-12-12
S2000004,U101066,F1069,65.69,2024-06-23
S2000005,U100451,F1144,44.26,2024-08-21
S2000006,U100140,F1220,53.32,2024-03-26
S2000007,U103471,F1120,35.3,2024-08-10
S2000008,U106697,F1086,43.35,2024-06-24
S2000009,U104464,F1209,83.42,2024-10-30
S2000010,U101791,F1195,98.34,2024-01-21
S2000011,U101269,F1206,41.19,2024-11-01
S2000012,U109113,F1273,35.05,2024-03-13
S2000013,U105978,F1136,74.56,2024-05-22
S2000014,U109213,F1234,97.91,2024-11-08
S2000015,U104917,F1029,77.65,2024-07-09
S2000016,U105775,F1031,73.4,2024-01-30
S2000017,U108439,F1229,47.74,2024-02-15
S2000018,U103038,F1111,78.05,2024-07-24
S2000019,U103544,F1124,61.4,2024-04-21
S2000020,U103890,F1237,22.74,2024-11-10
S2000021,U101274,F1037,11.65,2024-08-09
S2000022,U100233,F1121,92.2,2024-01-28
S2000023,U100182,F1238,53.86,2024-02-11
S2000024,U104741,F1002,62.61,2024-04-27
S2000025,U102214,F1248,91.74,2024-09-12
S2000026,U100352,F1111,17.46,2024-01-07
S2000027,U103579,F1240,39.4,2024-03-06
S2000028,U100425,F1226,84.72,2024-11-30
S2000029,U103164,F1051,36.11,2024-01-26
S2000030,U104177,F1224,46.49,2024-08-13
S2000031,U100237,F1084,48.5,2024-09-24
S2000032,U100141,F1020,38.2,2024-08-28
S2000033,U107497,F1285,88.25,2024-02-28
S2000034,U103242,F1225,63.67,2024-01-22
S2000035,U105191,F1060,16.6,2024-05-08
S2000036,U101543,F1038,69.49,2024-09-13
S2000037,U109810,F1298,19.01,2024-10-24
S2000038,U107407,F1232,82.85,2024-10-05
S2000039,U107654,F1091,68.45,2024-08-31
S2000040,U102518,F1253,88.9,2024-02-23
S2000041,U106998,F1112,92.49,2024-04-09
S2000042,U105642,F1070,91.27,2024-09-30
S2000043,U104257,F1128,31.24,2024-12-22
S2000044,U101245,F1242,76.57,2024-11-26
S2000045,U104879,F1294,37.98,2024-02-02
S2000046,U102563,F1196,21.45,2024-02-28
S2000047,U109553,F1007,84.55,2024-06-26
S2000048,U107988,F1264,41.32,2024-06-22
S2000049,U102471,F1288,43.69,2024-11-13
S2000050,U100108,F1234,20.13,2024-07-31
S2000051,U109381,F1091,12.04,2024-06-20
S2000052,U101061,F1214,34.16,2024-06-23
S2000053,U100434,F1191,42.38,2024-03-01
S2000054,U101296,F1298,88.45,2024-05-16
S2000055,U107306,F1223,79.73,2024-12-05
S2000056,U106974,F1146,20.3,2024-06-05
S2000057,U104999,F1158,91.54,2024-03-12
S2000058,U101227,F1282,62.65,2024-07-05
S2000059,U103330,F1066,51.41,2024-06-25
S2000060,U107467,F1215,12.8,2024-04-07
S2000061,U100458,F1269,52.4,2024-04-29
S2000062,U107753,F1071,51.21,2024-12-21
S2000063,U100854,F1088,55.48,2024-08-28
S2000064,U108125,F1242,56.95,2024-08-13
S2000065,U103728,F1084,50.93,2024-02-20
S2000066,U104358,F1216,78.48,2024-12-25
S2000067,U103097,F1090,62.19,2024-12-20
S2000068,U101321,F1206,70.11,2024-01-22
S2000069,U100730,F1230,22.48,2024-03-06
S2000070,U105369,F1014,51.0,2024-01-21
S2000071,U108543,F1153,98.23,2024-09-09
S2000072,U103028,F1294,73.88,2024-09-16
S2000073,U108447,F1169,54.15,2024-08-05
S2000074,U102877,F1279,41.21,2024-03-11
S2000075,U101957,F1229,77.42,2024-01-25
S2000076,U105046,F1241,16.28,2024-06-13
S2000077,U101686,F1064,61.05,2024-05-20
S2000078,U107168,F1236,49.44,2024-02-11
S2000079,U107047,F1127,18.54,2024-07-13
S2000080,U109191,F1261,63.61,2024-07-31
S2000081,U108818,F1029,26.69,2024-06-19
S2000082,U107970,F1189,80.67,2024-09-08
S2000083,U103216,F1152,96.39,2024-09-10
S2000084,U103055,F1129,84.02,2024-02-21
S2000085,U102901,F1025,36.89,2024-05-05
S2000086,U105210,F1183,68.42,2024-11-18
S2000087,U108484,F1199,85.03,2024-04-20
S2000088,U105194,F1261,30.41,2024-10-13
S2000089,U102562,F1276,30.65,2024-03-20
S2000090,U105837,F1226,63.74,2024-05-06
S2000091,U107541,F1189,15.11,2024-07-14
S2000092,U108977,F1075,88.6,2024-07-20
S2000093,U106972,F1091,57.68,2024-10-12
S2000094,U106072,F1117,21.76,2024-07-12
S2000095,U108968,F1245,66.02,2024-11-06
S2000096,U101912,F1023,88.32,2024-10-05
S2000097,U103847,F1206,70.4,2024-06-22
S2000098,U103523,F1070,18.91,2024-10-14
S2000099,U101841,F1034,12.69,2024-06-20
S2000100,U100512,F1132,80.09,2024-10-17
S2000101,U106904,F1083,24.5,2024-01-28
S2000102,U102018,F1145,70.5,2024-06-03
S2000103,U100364,F1056,55.67,2024-02-24
S2000104,U109638,F1288,12.68,2024-08-24
S2000105,U107188,F1115,18.27,2024-07-18
S2000106,U100810,F1203,76.41,2024-05-01
S2000107,U108762,F1006,79.67,2024-05-03
S2000108,U109439,F1209,86.24,2024-09-26
S2000109,U102463,F1087,51.85,2024-08-14
S2000110,U100162,F1278,84.49,2024-08-23
S2000111,U101396,F1173,69.97,2024-01-23
S2000112,U100457,F1066,91.09,2024-06-02
S2000113,U104447,F1012,86.95,2024-12-19
S2000114,U101107,F1229,82.08,2024-03-21
S2000115,U100966,F1052,85.54,2024-02-15
S2000116,U105889,F1235,77.98,2024-05-21
S2000117,U102523,F1149,87.34,2024-03-30
S2000118,U109331,F1082,45.51,2024-03-14
S2000119,U100993,F1065,68.99,2024-08-01
S2000120,U106165,F1051,92.42,2024-07-22
S2000121,U108137,F1046,48.02,2024-10-20
S2000122,U100150,F1212,12.19,2024-06-03
S2000123,U108146,F1133,25.9,2024-08-13
S2000124,U109063,F1276,74.33,2024-04-24
S2000125,U109323,F1092,57.13,2024-07-06
S2000126,U104477,F1196,50.51,2024-12-21
S2000127,U109971,F1122,15.31,2024-11-09
S2000128,U101397,F1008,51.72,2024-05-22
S2000129,U109481,F1123,28.39,2024-04-27
S2000130,U106974,F1142,24.08,2024-06-12
S2000131,U100987,F1157,72.4,2024-01-16
S2000132,U107353,F1148,96.77,2024-03-15
S2000133,U100635,F1284,68.14,2024-06-24
S2000134,U104429,F1115,46.13,2024-08-15
S2000135,U104076,F1171,46.84,2024-07-03
S2000136,U106668,F1124,75.54,2024-10-02
S2000137,U103289,F1129,19.17,2024-05-31
S2000138,U108024,F1227,35.7,2024-05-19
S2000139,U103996,F1076,15.8,2024-10-25
S2000140,U100385,F1044,66.94,2024-04-01
S2000141,U107394,F1147,73.83,2024-12-24
S2000142,U103431,F1286,26.54,2024-03-30
S2000143,U105995,F1290,15.56,2024-04-02
S2000144,U108627,F1211,92.31,2024-07-17
S2000145,U102997,F1152,24.41,2024-03-16
S2000146,U109192,F1236,84.69,2024-01-29
S2000147,U109563,F1263,44.57,2024-04-11
S2000148,U109352,F1162,58.45,2024-11-01
S2000149,U103235,F1233,50.33,2024-11-21
S2000150,U107426,F1082,89.48,2024-07-16
S2000151,U100291,F1138,50.74,2024-11-19
S2000152,U109284,F1198,47.19,2024-04-21
S2000153,U104121,F1011,71.77,2024-03-16
S2000154,U103853,F1007,11.61,2024-04-09
S2000155,U109816,F1177,52.72,2024-12-08
S2000156,U107918,F1127,49.24,2024-09-29
S2000157,U105698,F1285,28.68,2024-07-14
S2000158,U108319,F1197,10.96,2024-11-06
S2000159,U103309,F1130,25.18,2024-01-12
S2000160,U105795,F1028,91.71,2024-04-07
S2000161,U105611,F1043,19.87,2024-03-19
S2000162,U100200,F1019,85.24,2024-11-22
S2000163,U108437,F1080,92.38,2024-07-03
S2000164,U100476,F1176,17.46,2024-09-11
S2000165,U105826,F1278,34.36,2024-12-30
S2000166,U102897,F1215,25.5,2024-10-02
S2000167,U103136,F1166,27.14,2024-11-09
S2000168,U109195,F1237,57.55,2024-03-23
S2000169,U102591,F1104,69.83,2024-10-05
S2000170,U106541,F1255,24.26,2024-07-20
S2000171,U108822,F1278,35.72,2024-11-17
S2000172,U101001,F1033,61.73,2024-06-13
S2000173,U106774,F1093,22.82,2024-06-01
S2000174,U109847,F1153,33.47,2024-09-06
S2000175,U105443,F1168,71.66,2024-11-06
S2000176,U101079,F1099,88.89,2024-08-14
S2000177,U105366,F1134,88.58,2024-06-05
S2000178,U103810,F1264,10.81,2024-10-24
S2000179,U103170,F1100,50.83,2024-01-27
S2000180,U102026,F1148,86.69,2024-12-29
S2000181,U102062,F1240,31.93,2024-02-28
S2000182,U102518,F1226,85.64,2024-11-06
S2000183,U102656,F1084,46.36,2024-08-18
S2000184,U104406,F1237,77.4,2024-07-25
S2000185,U103111,F1246,37.58,2024-08-13
S2000186,U107352,F1257,62.46,2024-05-06
