UserID,Age,Gender,EmploymentStatus,Location
U100000,56.0,Non-binary,Part-time,Lesotho
U100001,46.0,Male,Part-time,Guinea
U100002,32.0,Prefer not to say,Part-time,United States of America
U100003,60.0,Prefer not to say,Part-time,Antigua and Barbuda
U100004,25.0,Female,Freelancer,France
U100005,38.0,Female,Full-time,Lebanon
U100006,56.0,Male,Part-time,Cameroon
U100007,36.0,Female,Freelancer,Bosnia and Herzegovina
U100008,40.0,Non-binary,Full-time,Cote d'Ivoire
U100009,28.0,Non-binary,Part-time,Macao
U100010,28.0,Female,Full-time,Venezuela
U100011,41.0,Non-binary,Full-time,United States Virgin Islands
U100012,53.0,Non-binary,Unemployed,Romania
U100013,57.0,Male,Student,Cayman Islands
U100014,41.0,Non-binary,Unemployed,Palau
U100015,20.0,Prefer not to say,Full-time,Nauru
U100016,39.0,Prefer not to say,Freelancer,French Polynesia
U100017,19.0,Male,Part-time,Morocco
U100018,41.0,Female,Student,Latvia
U100019,61.0,Male,Part-time,Myanmar
U100020,47.0,Female,Freelancer,Turks and Caicos Islands
U100021,55.0,Female,Student,Bahrain
U100022,19.0,Female,Unemployed,South Georgia and the South Sandwich Islands
U100023,38.0,Female,Full-time,Costa Rica
U100024,50.0,Female,Freelancer,Saint Pierre and Miquelon
U100025,29.0,Male,Full-time,Liberia
U100026,39.0,Female,Full-time,Saint Martin
U100027,61.0,Non-binary,Part-time,Sudan
U100028,42.0,Non-binary,Freelancer,Fiji
U100029,44.0,Female,Full-time,Latvia
U100030,59.0,Non-binary,Unemployed,Sao Tome and Principe
U100031,45.0,Prefer not to say,Student,Uzbekistan
U100032,33.0,Male,Freelancer,United States Virgin Islands
U100033,32.0,Male,Part-time,Slovenia
U100034,64.0,Female,Freelancer,Suriname
U100035,61.0,Female,Part-time,Kuwait
U100036,20.0,Prefer not to say,Student,Suriname
U100037,54.0,Female,Unemployed,Wallis and Futuna
U100038,24.0,Non-binary,Full-time,Slovenia
U100039,38.0,Prefer not to say,Freelancer,Pitcairn Islands
U100040,26.0,Non-binary,Part-time,Congo
U100041,56.0,Male,Student,Czech Republic
U100042,35.0,Non-binary,Full-time,Australia
U100043,21.0,Male,Student,Montenegro
U100044,42.0,Non-binary,Unemployed,Palestinian Territory
U100045,31.0,Male,Full-time,Saudi Arabia
U100046,26.0,Female,Full-time,Peru
U100047,43.0,Non-binary,Full-time,Jersey
U100048,19.0,Male,Part-time,Tonga
U100049,37.0,Non-binary,Full-time,Mayotte
U100050,45.0,Prefer not to say,Student,Niue
U100051,64.0,Female,Part-time,Zambia
U100052,24.0,Male,Full-time,Yemen
U100053,61.0,Prefer not to say,Student,Djibouti
U100054,25.0,Non-binary,Student,Mali
U100055,64.0,Prefer not to say,Freelancer,Singapore
U100056,52.0,Non-binary,Student,Dominica
U100057,31.0,Female,Unemployed,Hong Kong
U100058,34.0,Prefer not to say,Full-time,Armenia
U100059,53.0,Female,Full-time,Cocos (Keeling) Islands
U100060,57.0,Male,Full-time,Wallis and Futuna
U100061,21.0,Non-binary,Student,Romania
U100062,19.0,Non-binary,Student,Falkland Islands (Malvinas)
U100063,23.0,Female,Full-time,Macedonia
U100064,59.0,Female,Part-time,Denmark
U100065,21.0,Male,Part-time,Aruba
U100066,46.0,Prefer not to say,Unemployed,Botswana
U100067,35.0,Non-binary,Freelancer,Italy
U100068,43.0,Non-binary,Unemployed,Tokelau
U100069,61.0,Male,Full-time,Estonia
U100070,51.0,Male,Full-time,Solomon Islands
U100071,27.0,Female,Full-time,Canada
U100072,53.0,Female,Freelancer,Vietnam
U100073,31.0,Prefer not to say,Student,Senegal
U100074,48.0,Male,Freelancer,Gabon
U100075,32.0,Prefer not to say,Unemployed,Tajikistan
U100076,25.0,Male,Student,Congo
U100077,31.0,Non-binary,Student,Somalia
U100078,40.0,Male,Unemployed,Marshall Islands
U100079,57.0,Male,Student,Palestinian Territory
U100080,38.0,Non-binary,Part-time,Nigeria
U100081,33.0,Male,Unemployed,Afghanistan
U100082,62.0,Prefer not to say,Unemployed,Australia
U100083,35.0,Female,Part-time,Central African Republic
U100084,64.0,Female,Freelancer,Chile
U100085,41.0,Prefer not to say,Freelancer,Trinidad and Tobago
U100086,43.0,Non-binary,Freelancer,Armenia
U100087,42.0,Male,Student,Maldives
U100088,62.0,Prefer not to say,Part-time,Aruba
U100089,58.0,Female,Unemployed,Barbados
U100090,46.0,Female,Unemployed,Palau
U100091,32.0,Prefer not to say,Unemployed,Djibouti
U100092,62.0,Female,Student,Niue
U100093,18.0,Prefer not to say,Student,Iceland
U100094,42.0,Female,Freelancer,Guam
U100095,24.0,Prefer not to say,Student,Mali
U100096,26.0,Male,Freelancer,Macao
U100097,41.0,Male,Freelancer,Wallis and Futuna
